"";"Model";"Successes";"Successes_A";"Successes_B";"Allocated_A";"Allocated_B"
"1";"1. Random";379;81;298;511;489
"2";"6. Biased  coin";382;95;287;501;500
"3";"2. Neyman known";419;94;325;457;543
"4";"3. RSIHR Known";483;74;409;340;660
"5";"4. Rosenberger known";545;21;524;130;870
"6";"5. Optimal adjusted";375;89;286;540;460
"7";"1. Random";393;105;288;514;486
"8";"6. Biased  coin";404;111;293;503;500
"9";"2. Neyman known";436;101;335;462;538
"10";"3. RSIHR Known";452;85;367;385;615
"11";"4. Rosenberger known";553;24;529;117;883
"12";"5. Optimal adjusted";379;111;268;541;459
"13";"1. Random";383;112;271;503;497
"14";"6. Biased  coin";387;101;286;500;500
"15";"2. Neyman known";416;97;319;455;545
"16";"3. RSIHR Known";458;76;382;351;649
"17";"4. Rosenberger known";536;30;506;132;868
"18";"5. Optimal adjusted";368;120;248;554;446
"19";"1. Random";418;92;326;459;541
"20";"6. Biased  coin";404;99;305;501;499
"21";"2. Neyman known";411;89;322;457;543
"22";"3. RSIHR Known";450;80;370;398;602
"23";"4. Rosenberger known";557;27;530;118;882
"24";"5. Optimal adjusted";403;100;303;509;491
"25";"1. Random";377;103;274;516;484
"26";"6. Biased  coin";374;103;271;500;500
"27";"2. Neyman known";390;93;297;446;554
"28";"3. RSIHR Known";424;72;352;360;640
"29";"4. Rosenberger known";507;31;476;160;840
"30";"5. Optimal adjusted";365;102;263;533;467
"31";"1. Random";397;95;302;511;489
"32";"6. Biased  coin";388;95;293;499;501
"33";"2. Neyman known";396;78;318;440;560
"34";"3. RSIHR Known";462;74;388;361;639
"35";"4. Rosenberger known";527;18;509;137;863
"36";"5. Optimal adjusted";386;101;285;538;462
"37";"1. Random";420;98;322;488;512
"38";"6. Biased  coin";401;100;301;501;499
"39";"2. Neyman known";445;106;339;449;551
"40";"3. RSIHR Known";467;75;392;352;648
"41";"4. Rosenberger known";549;25;524;139;861
"42";"5. Optimal adjusted";400;99;301;525;475
"43";"1. Random";377;105;272;519;481
"44";"6. Biased  coin";366;98;268;499;501
"45";"2. Neyman known";376;102;274;498;502
"46";"3. RSIHR Known";415;77;338;374;626
"47";"4. Rosenberger known";524;39;485;143;857
"48";"5. Optimal adjusted";355;113;242;543;457
"49";"1. Random";413;93;320;478;522
"50";"6. Biased  coin";409;106;303;501;501
"51";"2. Neyman known";432;86;346;446;554
"52";"3. RSIHR Known";469;72;397;369;631
"53";"4. Rosenberger known";561;37;524;149;851
"54";"5. Optimal adjusted";403;98;305;533;467
"55";"1. Random";384;97;287;484;516
"56";"6. Biased  coin";389;102;287;501;500
"57";"2. Neyman known";398;84;314;446;554
"58";"3. RSIHR Known";442;58;384;352;648
"59";"4. Rosenberger known";539;29;510;132;868
"60";"5. Optimal adjusted";365;110;255;555;445
"61";"1. Random";406;98;308;489;511
"62";"6. Biased  coin";383;90;293;502;499
"63";"2. Neyman known";396;94;302;486;514
"64";"3. RSIHR Known";459;65;394;338;662
"65";"4. Rosenberger known";539;27;512;132;868
"66";"5. Optimal adjusted";407;107;300;511;489
"67";"1. Random";390;110;280;523;477
"68";"6. Biased  coin";388;100;288;499;501
"69";"2. Neyman known";431;89;342;442;558
"70";"3. RSIHR Known";449;61;388;358;642
"71";"4. Rosenberger known";550;29;521;145;855
"72";"5. Optimal adjusted";357;96;261;542;458
"73";"1. Random";407;101;306;481;519
"74";"6. Biased  coin";394;98;296;497;503
"75";"2. Neyman known";399;94;305;480;520
"76";"3. RSIHR Known";434;81;353;383;617
"77";"4. Rosenberger known";528;22;506;148;852
"78";"5. Optimal adjusted";394;111;283;553;447
"79";"1. Random";380;98;282;514;486
"80";"6. Biased  coin";419;112;307;500;500
"81";"2. Neyman known";438;92;346;434;566
"82";"3. RSIHR Known";473;74;399;337;663
"83";"4. Rosenberger known";561;35;526;144;856
"84";"5. Optimal adjusted";403;115;288;529;471
"85";"1. Random";416;100;316;498;502
"86";"6. Biased  coin";428;108;320;503;500
"87";"2. Neyman known";431;101;330;467;533
"88";"3. RSIHR Known";462;75;387;357;643
"89";"4. Rosenberger known";552;28;524;128;872
"90";"5. Optimal adjusted";383;105;278;546;454
"91";"1. Random";394;99;295;510;490
"92";"6. Biased  coin";400;96;304;498;502
"93";"2. Neyman known";432;83;349;431;569
"94";"3. RSIHR Known";443;65;378;374;626
"95";"4. Rosenberger known";545;30;515;138;862
"96";"5. Optimal adjusted";381;91;290;527;473
"97";"1. Random";388;94;294;505;495
"98";"6. Biased  coin";423;111;312;500;500
"99";"2. Neyman known";469;95;374;421;579
"100";"3. RSIHR Known";466;72;394;358;642
"101";"4. Rosenberger known";565;27;538;118;882
"102";"5. Optimal adjusted";392;106;286;524;476
"103";"1. Random";410;100;310;485;515
"104";"6. Biased  coin";369;93;276;501;500
"105";"2. Neyman known";398;82;316;439;561
"106";"3. RSIHR Known";401;69;332;386;614
"107";"4. Rosenberger known";518;31;487;142;858
"108";"5. Optimal adjusted";345;109;236;566;434
"109";"1. Random";427;108;319;496;504
"110";"6. Biased  coin";416;109;307;499;501
"111";"2. Neyman known";410;95;315;447;553
"112";"3. RSIHR Known";466;77;389;363;637
"113";"4. Rosenberger known";557;37;520;154;846
"114";"5. Optimal adjusted";402;110;292;533;467
"115";"1. Random";407;104;303;490;510
"116";"6. Biased  coin";411;108;303;500;500
"117";"2. Neyman known";426;114;312;487;513
"118";"3. RSIHR Known";435;78;357;390;610
"119";"4. Rosenberger known";534;29;505;145;855
"120";"5. Optimal adjusted";394;104;290;519;481
"121";"1. Random";381;109;272;523;477
"122";"6. Biased  coin";406;113;293;499;501
"123";"2. Neyman known";422;94;328;469;531
"124";"3. RSIHR Known";470;85;385;370;630
"125";"4. Rosenberger known";550;34;516;162;838
"126";"5. Optimal adjusted";373;112;261;541;459
"127";"1. Random";400;94;306;488;512
"128";"6. Biased  coin";416;117;299;500;501
"129";"2. Neyman known";437;90;347;422;578
"130";"3. RSIHR Known";463;93;370;386;614
"131";"4. Rosenberger known";529;36;493;166;834
"132";"5. Optimal adjusted";385;114;271;541;459
"133";"1. Random";422;96;326;493;507
"134";"6. Biased  coin";422;110;312;500;500
"135";"2. Neyman known";440;92;348;443;557
"136";"3. RSIHR Known";473;60;413;342;658
"137";"4. Rosenberger known";570;30;540;155;845
"138";"5. Optimal adjusted";407;99;308;545;455
"139";"1. Random";396;116;280;497;503
"140";"6. Biased  coin";400;111;289;502;504
"141";"2. Neyman known";425;103;322;446;554
"142";"3. RSIHR Known";452;100;352;393;607
"143";"4. Rosenberger known";517;28;489;147;853
"144";"5. Optimal adjusted";381;125;256;549;451
"145";"1. Random";432;117;315;490;510
"146";"6. Biased  coin";417;114;303;504;500
"147";"2. Neyman known";424;91;333;419;581
"148";"3. RSIHR Known";475;95;380;381;619
"149";"4. Rosenberger known";565;32;533;112;888
"150";"5. Optimal adjusted";396;134;262;564;436
"151";"1. Random";411;104;307;480;520
"152";"6. Biased  coin";401;101;300;498;502
"153";"2. Neyman known";411;98;313;460;540
"154";"3. RSIHR Known";448;81;367;393;607
"155";"4. Rosenberger known";536;33;503;140;860
"156";"5. Optimal adjusted";382;115;267;540;460
"157";"1. Random";391;99;292;516;484
"158";"6. Biased  coin";388;96;292;501;499
"159";"2. Neyman known";433;90;343;436;564
"160";"3. RSIHR Known";433;71;362;383;617
"161";"4. Rosenberger known";549;29;520;144;856
"162";"5. Optimal adjusted";384;93;291;528;472
"163";"1. Random";400;107;293;502;498
"164";"6. Biased  coin";414;104;310;499;501
"165";"2. Neyman known";439;92;347;429;571
"166";"3. RSIHR Known";446;74;372;347;653
"167";"4. Rosenberger known";507;17;490;141;859
"168";"5. Optimal adjusted";384;117;267;550;450
"169";"1. Random";380;104;276;503;497
"170";"6. Biased  coin";405;107;298;500;500
"171";"2. Neyman known";420;101;319;450;550
"172";"3. RSIHR Known";450;80;370;378;622
"173";"4. Rosenberger known";518;23;495;144;856
"174";"5. Optimal adjusted";376;114;262;540;460
"175";"1. Random";390;89;301;482;518
"176";"6. Biased  coin";370;89;281;502;499
"177";"2. Neyman known";412;69;343;411;589
"178";"3. RSIHR Known";441;68;373;359;641
"179";"4. Rosenberger known";517;27;490;151;849
"180";"5. Optimal adjusted";373;92;281;516;484
"181";"1. Random";416;99;317;493;507
"182";"6. Biased  coin";406;111;295;500;500
"183";"2. Neyman known";433;81;352;426;574
"184";"3. RSIHR Known";458;61;397;352;648
"185";"4. Rosenberger known";540;30;510;157;843
"186";"5. Optimal adjusted";395;110;285;533;467
"187";"1. Random";419;91;328;457;543
"188";"6. Biased  coin";398;93;305;500;500
"189";"2. Neyman known";437;100;337;465;535
"190";"3. RSIHR Known";446;84;362;381;619
"191";"4. Rosenberger known";546;20;526;140;860
"192";"5. Optimal adjusted";383;113;270;559;441
"193";"1. Random";412;87;325;466;534
"194";"6. Biased  coin";390;95;295;503;497
"195";"2. Neyman known";399;84;315;481;519
"196";"3. RSIHR Known";459;69;390;352;648
"197";"4. Rosenberger known";539;17;522;123;877
"198";"5. Optimal adjusted";358;99;259;552;448
"199";"1. Random";427;105;322;482;518
"200";"6. Biased  coin";396;108;288;499;501
"201";"2. Neyman known";445;115;330;461;539
"202";"3. RSIHR Known";451;95;356;407;593
"203";"4. Rosenberger known";545;31;514;149;851
"204";"5. Optimal adjusted";382;106;276;525;475
"205";"1. Random";391;104;287;497;503
"206";"6. Biased  coin";390;108;282;502;498
"207";"2. Neyman known";404;100;304;466;534
"208";"3. RSIHR Known";449;76;373;368;632
"209";"4. Rosenberger known";518;25;493;150;850
"210";"5. Optimal adjusted";385;106;279;523;477
"211";"1. Random";388;92;296;493;507
"212";"6. Biased  coin";392;105;287;502;499
"213";"2. Neyman known";423;96;327;438;562
"214";"3. RSIHR Known";426;88;338;422;578
"215";"4. Rosenberger known";511;26;485;152;848
"216";"5. Optimal adjusted";374;92;282;501;499
"217";"1. Random";408;95;313;477;523
"218";"6. Biased  coin";427;120;307;499;501
"219";"2. Neyman known";425;90;335;453;547
"220";"3. RSIHR Known";439;74;365;358;642
"221";"4. Rosenberger known";547;33;514;134;866
"222";"5. Optimal adjusted";395;109;286;501;499
"223";"1. Random";435;122;313;488;512
"224";"6. Biased  coin";425;126;299;500;500
"225";"2. Neyman known";417;109;308;476;524
"226";"3. RSIHR Known";441;82;359;376;624
"227";"4. Rosenberger known";529;29;500;160;840
"228";"5. Optimal adjusted";401;123;278;548;452
"229";"1. Random";400;111;289;512;488
"230";"6. Biased  coin";407;102;305;500;501
"231";"2. Neyman known";413;81;332;424;576
"232";"3. RSIHR Known";453;72;381;369;631
"233";"4. Rosenberger known";526;24;502;153;847
"234";"5. Optimal adjusted";374;108;266;534;466
"235";"1. Random";386;98;288;506;494
"236";"6. Biased  coin";386;94;292;500;500
"237";"2. Neyman known";401;97;304;473;527
"238";"3. RSIHR Known";426;72;354;394;606
"239";"4. Rosenberger known";521;26;495;143;857
"240";"5. Optimal adjusted";364;106;258;541;459
"241";"1. Random";413;92;321;488;512
"242";"6. Biased  coin";401;92;309;499;501
"243";"2. Neyman known";423;88;335;464;536
"244";"3. RSIHR Known";449;63;386;364;636
"245";"4. Rosenberger known";559;26;533;144;856
"246";"5. Optimal adjusted";391;114;277;550;450
"247";"1. Random";399;97;302;492;508
"248";"6. Biased  coin";407;107;300;503;499
"249";"2. Neyman known";444;97;347;436;564
"250";"3. RSIHR Known";449;74;375;365;635
"251";"4. Rosenberger known";532;27;505;142;858
"252";"5. Optimal adjusted";396;117;279;539;461
"253";"1. Random";395;109;286;487;513
"254";"6. Biased  coin";409;107;302;504;497
"255";"2. Neyman known";396;89;307;468;532
"256";"3. RSIHR Known";422;73;349;390;610
"257";"4. Rosenberger known";530;29;501;150;850
"258";"5. Optimal adjusted";382;116;266;554;446
"259";"1. Random";393;98;295;504;496
"260";"6. Biased  coin";412;103;309;503;500
"261";"2. Neyman known";424;94;330;453;547
"262";"3. RSIHR Known";436;63;373;383;617
"263";"4. Rosenberger known";558;32;526;141;859
"264";"5. Optimal adjusted";392;116;276;547;453
"265";"1. Random";391;98;293;512;488
"266";"6. Biased  coin";392;93;299;502;499
"267";"2. Neyman known";412;79;333;430;570
"268";"3. RSIHR Known";436;64;372;361;639
"269";"4. Rosenberger known";523;26;497;157;843
"270";"5. Optimal adjusted";389;108;281;530;470
"271";"1. Random";406;105;301;508;492
"272";"6. Biased  coin";379;93;286;502;499
"273";"2. Neyman known";420;94;326;446;554
"274";"3. RSIHR Known";453;76;377;357;643
"275";"4. Rosenberger known";521;20;501;138;862
"276";"5. Optimal adjusted";379;123;256;567;433
"277";"1. Random";415;110;305;506;494
"278";"6. Biased  coin";416;105;311;500;500
"279";"2. Neyman known";441;80;361;424;576
"280";"3. RSIHR Known";460;77;383;367;633
"281";"4. Rosenberger known";559;41;518;139;861
"282";"5. Optimal adjusted";390;101;289;527;473
"283";"1. Random";382;97;285;500;500
"284";"6. Biased  coin";380;93;287;499;501
"285";"2. Neyman known";397;73;324;444;556
"286";"3. RSIHR Known";435;69;366;376;624
"287";"4. Rosenberger known";528;31;497;158;842
"288";"5. Optimal adjusted";361;114;247;560;440
"289";"1. Random";432;115;317;510;490
"290";"6. Biased  coin";418;108;310;498;502
"291";"2. Neyman known";433;121;312;488;512
"292";"3. RSIHR Known";463;78;385;350;650
"293";"4. Rosenberger known";549;27;522;139;861
"294";"5. Optimal adjusted";395;114;281;531;469
"295";"1. Random";391;107;284;516;484
"296";"6. Biased  coin";399;104;295;501;499
"297";"2. Neyman known";436;94;342;430;570
"298";"3. RSIHR Known";449;82;367;370;630
"299";"4. Rosenberger known";556;30;526;123;877
"300";"5. Optimal adjusted";412;127;285;540;460
"301";"1. Random";386;104;282;516;484
"302";"6. Biased  coin";372;90;282;499;501
"303";"2. Neyman known";415;91;324;440;560
"304";"3. RSIHR Known";431;72;359;384;616
"305";"4. Rosenberger known";519;26;493;152;848
"306";"5. Optimal adjusted";359;94;265;540;460
"307";"1. Random";420;112;308;494;506
"308";"6. Biased  coin";410;108;302;499;501
"309";"2. Neyman known";413;89;324;444;556
"310";"3. RSIHR Known";449;70;379;363;637
"311";"4. Rosenberger known";529;22;507;141;859
"312";"5. Optimal adjusted";397;122;275;560;440
"313";"1. Random";399;99;300;498;502
"314";"6. Biased  coin";392;100;292;500;501
"315";"2. Neyman known";423;94;329;452;548
"316";"3. RSIHR Known";438;63;375;356;644
"317";"4. Rosenberger known";548;35;513;147;853
"318";"5. Optimal adjusted";388;112;276;537;463
"319";"1. Random";385;107;278;524;476
"320";"6. Biased  coin";405;110;295;503;497
"321";"2. Neyman known";448;103;345;432;568
"322";"3. RSIHR Known";461;74;387;362;638
"323";"4. Rosenberger known";540;33;507;161;839
"324";"5. Optimal adjusted";390;110;280;535;465
"325";"1. Random";418;107;311;480;520
"326";"6. Biased  coin";421;120;301;499;501
"327";"2. Neyman known";422;84;338;432;568
"328";"3. RSIHR Known";458;82;376;372;628
"329";"4. Rosenberger known";545;31;514;136;864
"330";"5. Optimal adjusted";393;113;280;534;466
"331";"1. Random";397;106;291;513;487
"332";"6. Biased  coin";400;104;296;501;500
"333";"2. Neyman known";430;96;334;454;546
"334";"3. RSIHR Known";441;75;366;383;617
"335";"4. Rosenberger known";544;25;519;130;870
"336";"5. Optimal adjusted";377;97;280;504;496
"337";"1. Random";408;102;306;504;496
"338";"6. Biased  coin";415;100;315;502;498
"339";"2. Neyman known";434;91;343;443;557
"340";"3. RSIHR Known";473;65;408;351;649
"341";"4. Rosenberger known";557;38;519;151;849
"342";"5. Optimal adjusted";394;117;277;539;461
"343";"1. Random";358;102;256;524;476
"344";"6. Biased  coin";380;96;284;501;500
"345";"2. Neyman known";392;87;305;467;533
"346";"3. RSIHR Known";423;74;349;369;631
"347";"4. Rosenberger known";518;23;495;136;864
"348";"5. Optimal adjusted";343;92;251;540;460
"349";"1. Random";387;102;285;498;502
"350";"6. Biased  coin";397;103;294;502;500
"351";"2. Neyman known";427;95;332;456;544
"352";"3. RSIHR Known";456;72;384;352;648
"353";"4. Rosenberger known";518;28;490;154;846
"354";"5. Optimal adjusted";377;99;278;519;481
"355";"1. Random";423;97;326;467;533
"356";"6. Biased  coin";392;91;301;500;500
"357";"2. Neyman known";438;97;341;451;549
"358";"3. RSIHR Known";483;90;393;361;639
"359";"4. Rosenberger known";542;35;507;150;850
"360";"5. Optimal adjusted";381;96;285;522;478
"361";"1. Random";368;92;276;501;499
"362";"6. Biased  coin";362;94;268;501;500
"363";"2. Neyman known";398;91;307;460;540
"364";"3. RSIHR Known";419;69;350;366;634
"365";"4. Rosenberger known";500;26;474;139;861
"366";"5. Optimal adjusted";359;91;268;515;485
"367";"1. Random";423;116;307;487;513
"368";"6. Biased  coin";403;108;295;500;500
"369";"2. Neyman known";429;94;335;445;555
"370";"3. RSIHR Known";467;78;389;368;632
"371";"4. Rosenberger known";544;36;508;152;848
"372";"5. Optimal adjusted";413;129;284;539;461
"373";"1. Random";399;95;304;493;507
"374";"6. Biased  coin";400;97;303;501;500
"375";"2. Neyman known";405;88;317;471;529
"376";"3. RSIHR Known";447;74;373;393;607
"377";"4. Rosenberger known";566;26;540;133;867
"378";"5. Optimal adjusted";395;109;286;529;471
"379";"1. Random";387;93;294;506;494
"380";"6. Biased  coin";396;91;305;500;500
"381";"2. Neyman known";399;78;321;446;554
"382";"3. RSIHR Known";455;62;393;342;658
"383";"4. Rosenberger known";555;27;528;137;863
"384";"5. Optimal adjusted";367;92;275;556;444
"385";"1. Random";384;98;286;495;505
"386";"6. Biased  coin";378;92;286;501;500
"387";"2. Neyman known";396;84;312;437;563
"388";"3. RSIHR Known";424;82;342;395;605
"389";"4. Rosenberger known";519;35;484;148;852
"390";"5. Optimal adjusted";379;106;273;526;474
"391";"1. Random";422;108;314;491;509
"392";"6. Biased  coin";401;107;294;503;500
"393";"2. Neyman known";432;103;329;456;544
"394";"3. RSIHR Known";467;77;390;351;649
"395";"4. Rosenberger known";543;24;519;137;863
"396";"5. Optimal adjusted";395;102;293;521;479
"397";"1. Random";411;105;306;496;504
"398";"6. Biased  coin";417;103;314;503;499
"399";"2. Neyman known";422;92;330;470;530
"400";"3. RSIHR Known";444;68;376;364;636
"401";"4. Rosenberger known";553;37;516;142;858
"402";"5. Optimal adjusted";392;118;274;563;437
"403";"1. Random";386;82;304;480;520
"404";"6. Biased  coin";409;116;293;500;501
"405";"2. Neyman known";424;96;328;461;539
"406";"3. RSIHR Known";434;74;360;386;614
"407";"4. Rosenberger known";534;29;505;137;863
"408";"5. Optimal adjusted";373;99;274;536;464
"409";"1. Random";399;110;289;501;499
"410";"6. Biased  coin";407;108;299;502;500
"411";"2. Neyman known";409;91;318;443;557
"412";"3. RSIHR Known";443;74;369;367;633
"413";"4. Rosenberger known";533;40;493;157;843
"414";"5. Optimal adjusted";370;107;263;534;466
"415";"1. Random";406;95;311;498;502
"416";"6. Biased  coin";371;86;285;501;500
"417";"2. Neyman known";425;75;350;429;571
"418";"3. RSIHR Known";435;65;370;377;623
"419";"4. Rosenberger known";538;26;512;144;856
"420";"5. Optimal adjusted";382;94;288;538;462
"421";"1. Random";382;99;283;497;503
"422";"6. Biased  coin";402;103;299;498;502
"423";"2. Neyman known";409;80;329;426;574
"424";"3. RSIHR Known";435;69;366;361;639
"425";"4. Rosenberger known";522;35;487;143;857
"426";"5. Optimal adjusted";387;119;268;530;470
"427";"1. Random";349;80;269;518;482
"428";"6. Biased  coin";383;91;292;500;501
"429";"2. Neyman known";392;84;308;455;545
"430";"3. RSIHR Known";417;83;334;381;619
"431";"4. Rosenberger known";497;33;464;145;855
"432";"5. Optimal adjusted";359;95;264;522;478
"433";"1. Random";394;99;295;485;515
"434";"6. Biased  coin";406;119;287;499;501
"435";"2. Neyman known";422;101;321;464;536
"436";"3. RSIHR Known";466;75;391;338;662
"437";"4. Rosenberger known";529;34;495;154;846
"438";"5. Optimal adjusted";391;112;279;527;473
"439";"1. Random";418;121;297;511;489
"440";"6. Biased  coin";407;101;306;503;498
"441";"2. Neyman known";405;95;310;455;545
"442";"3. RSIHR Known";453;74;379;352;648
"443";"4. Rosenberger known";547;29;518;149;851
"444";"5. Optimal adjusted";405;111;294;513;487
"445";"1. Random";398;114;284;515;485
"446";"6. Biased  coin";381;104;277;500;500
"447";"2. Neyman known";386;96;290;468;532
"448";"3. RSIHR Known";435;86;349;388;612
"449";"4. Rosenberger known";516;29;487;129;871
"450";"5. Optimal adjusted";384;109;275;535;465
"451";"1. Random";419;109;310;489;511
"452";"6. Biased  coin";393;109;284;501;500
"453";"2. Neyman known";421;109;312;449;551
"454";"3. RSIHR Known";466;78;388;348;652
"455";"4. Rosenberger known";548;30;518;126;874
"456";"5. Optimal adjusted";389;117;272;520;480
"457";"1. Random";374;100;274;509;491
"458";"6. Biased  coin";408;110;298;499;501
"459";"2. Neyman known";418;99;319;469;531
"460";"3. RSIHR Known";470;84;386;355;645
"461";"4. Rosenberger known";545;31;514;152;848
"462";"5. Optimal adjusted";402;112;290;532;468
"463";"1. Random";385;106;279;522;478
"464";"6. Biased  coin";395;101;294;501;500
"465";"2. Neyman known";400;87;313;465;535
"466";"3. RSIHR Known";447;67;380;357;643
"467";"4. Rosenberger known";527;30;497;151;849
"468";"5. Optimal adjusted";385;113;272;542;458
"469";"1. Random";399;97;302;489;511
"470";"6. Biased  coin";378;93;285;499;501
"471";"2. Neyman known";417;94;323;460;540
"472";"3. RSIHR Known";407;74;333;385;615
"473";"4. Rosenberger known";519;33;486;160;840
"474";"5. Optimal adjusted";374;105;269;530;470
"475";"1. Random";409;100;309;510;490
"476";"6. Biased  coin";419;113;306;503;499
"477";"2. Neyman known";406;101;305;473;527
"478";"3. RSIHR Known";440;83;357;395;605
"479";"4. Rosenberger known";538;26;512;134;866
"480";"5. Optimal adjusted";379;108;271;538;462
"481";"1. Random";392;92;300;480;520
"482";"6. Biased  coin";394;104;290;502;499
"483";"2. Neyman known";420;95;325;467;533
"484";"3. RSIHR Known";443;64;379;361;639
"485";"4. Rosenberger known";525;27;498;145;855
"486";"5. Optimal adjusted";373;103;270;554;446
"487";"1. Random";430;115;315;493;507
"488";"6. Biased  coin";404;104;300;500;500
"489";"2. Neyman known";459;104;355;429;571
"490";"3. RSIHR Known";456;84;372;393;607
"491";"4. Rosenberger known";566;35;531;141;859
"492";"5. Optimal adjusted";396;106;290;526;474
"493";"1. Random";402;101;301;496;504
"494";"6. Biased  coin";404;99;305;502;498
"495";"2. Neyman known";419;93;326;457;543
"496";"3. RSIHR Known";451;77;374;377;623
"497";"4. Rosenberger known";552;29;523;139;861
"498";"5. Optimal adjusted";376;106;270;538;462
"499";"1. Random";409;91;318;476;524
"500";"6. Biased  coin";386;103;283;502;499
"501";"2. Neyman known";431;84;347;427;573
"502";"3. RSIHR Known";447;63;384;352;648
"503";"4. Rosenberger known";536;19;517;123;877
"504";"5. Optimal adjusted";384;99;285;518;482
"505";"1. Random";414;105;309;510;490
"506";"6. Biased  coin";391;99;292;503;499
"507";"2. Neyman known";415;80;335;451;549
"508";"3. RSIHR Known";448;62;386;361;639
"509";"4. Rosenberger known";551;27;524;131;869
"510";"5. Optimal adjusted";368;92;276;530;470
"511";"1. Random";408;109;299;494;506
"512";"6. Biased  coin";394;100;294;499;501
"513";"2. Neyman known";401;88;313;460;540
"514";"3. RSIHR Known";433;65;368;390;610
"515";"4. Rosenberger known";538;27;511;147;853
"516";"5. Optimal adjusted";393;122;271;555;445
"517";"1. Random";353;92;261;534;466
"518";"6. Biased  coin";395;95;300;501;499
"519";"2. Neyman known";424;103;321;458;542
"520";"3. RSIHR Known";439;70;369;369;631
"521";"4. Rosenberger known";536;28;508;142;858
"522";"5. Optimal adjusted";379;104;275;551;449
"523";"1. Random";400;103;297;507;493
"524";"6. Biased  coin";396;98;298;501;501
"525";"2. Neyman known";439;81;358;419;581
"526";"3. RSIHR Known";455;80;375;385;615
"527";"4. Rosenberger known";556;22;534;124;876
"528";"5. Optimal adjusted";394;112;282;531;469
"529";"1. Random";397;100;297;508;492
"530";"6. Biased  coin";392;96;296;502;499
"531";"2. Neyman known";409;89;320;446;554
"532";"3. RSIHR Known";455;82;373;375;625
"533";"4. Rosenberger known";533;39;494;158;842
"534";"5. Optimal adjusted";364;108;256;567;433
"535";"1. Random";413;99;314;497;503
"536";"6. Biased  coin";398;102;296;502;500
"537";"2. Neyman known";414;84;330;440;560
"538";"3. RSIHR Known";469;86;383;350;650
"539";"4. Rosenberger known";546;26;520;141;859
"540";"5. Optimal adjusted";386;117;269;540;460
"541";"1. Random";397;108;289;492;508
"542";"6. Biased  coin";393;100;293;500;500
"543";"2. Neyman known";440;113;327;453;547
"544";"3. RSIHR Known";464;74;390;358;642
"545";"4. Rosenberger known";540;27;513;133;867
"546";"5. Optimal adjusted";386;115;271;536;464
"547";"1. Random";420;106;314;474;526
"548";"6. Biased  coin";428;116;312;500;500
"549";"2. Neyman known";444;102;342;413;587
"550";"3. RSIHR Known";470;94;376;373;627
"551";"4. Rosenberger known";539;33;506;136;864
"552";"5. Optimal adjusted";389;119;270;547;453
"553";"1. Random";432;99;333;498;502
"554";"6. Biased  coin";396;96;300;501;500
"555";"2. Neyman known";465;102;363;440;560
"556";"3. RSIHR Known";479;81;398;361;639
"557";"4. Rosenberger known";570;24;546;121;879
"558";"5. Optimal adjusted";394;105;289;538;462
"559";"1. Random";402;105;297;489;511
"560";"6. Biased  coin";416;111;305;501;501
"561";"2. Neyman known";398;91;307;457;543
"562";"3. RSIHR Known";429;83;346;379;621
"563";"4. Rosenberger known";535;35;500;143;857
"564";"5. Optimal adjusted";391;108;283;525;475
"565";"1. Random";413;108;305;497;503
"566";"6. Biased  coin";407;106;301;500;500
"567";"2. Neyman known";416;89;327;461;539
"568";"3. RSIHR Known";453;73;380;377;623
"569";"4. Rosenberger known";546;32;514;147;853
"570";"5. Optimal adjusted";390;112;278;535;465
"571";"1. Random";390;106;284;527;473
"572";"6. Biased  coin";399;99;300;500;500
"573";"2. Neyman known";436;81;355;433;567
"574";"3. RSIHR Known";469;76;393;352;648
"575";"4. Rosenberger known";553;22;531;141;859
"576";"5. Optimal adjusted";391;104;287;532;468
"577";"1. Random";406;102;304;489;511
"578";"6. Biased  coin";391;100;291;502;500
"579";"2. Neyman known";385;71;314;429;571
"580";"3. RSIHR Known";428;79;349;389;611
"581";"4. Rosenberger known";526;26;500;121;879
"582";"5. Optimal adjusted";370;117;253;566;434
"583";"1. Random";381;100;281;514;486
"584";"6. Biased  coin";393;102;291;502;499
"585";"2. Neyman known";433;94;339;433;567
"586";"3. RSIHR Known";441;78;363;372;628
"587";"4. Rosenberger known";528;24;504;152;848
"588";"5. Optimal adjusted";384;110;274;527;473
"589";"1. Random";397;107;290;514;486
"590";"6. Biased  coin";394;99;295;501;500
"591";"2. Neyman known";416;90;326;470;530
"592";"3. RSIHR Known";445;83;362;398;602
"593";"4. Rosenberger known";548;26;522;133;867
"594";"5. Optimal adjusted";374;101;273;545;455
"595";"1. Random";430;118;312;480;520
"596";"6. Biased  coin";384;107;277;501;500
"597";"2. Neyman known";402;102;300;456;544
"598";"3. RSIHR Known";433;81;352;353;647
"599";"4. Rosenberger known";513;28;485;135;865
"600";"5. Optimal adjusted";394;127;267;544;456
"601";"1. Random";409;120;289;505;495
"602";"6. Biased  coin";398;95;303;502;500
"603";"2. Neyman known";418;87;331;438;562
"604";"3. RSIHR Known";440;77;363;382;618
"605";"4. Rosenberger known";527;24;503;137;863
"606";"5. Optimal adjusted";392;115;277;535;465
"607";"1. Random";401;107;294;504;496
"608";"6. Biased  coin";414;112;302;500;501
"609";"2. Neyman known";423;97;326;447;553
"610";"3. RSIHR Known";456;81;375;367;633
"611";"4. Rosenberger known";526;35;491;155;845
